,Unnamed: 0,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio
32,32,CALA JOIA,Folk-pop,Maó (Menorca),https://www.youtube.com/watch?v=M_uhXqRnlLw,39.89508040908454,4.271414963147115,Maó,CALA JOIA: Folk-pop,nan
33,33,Xavier Mata,Hip hop,Barcelona (Barcelonès),https://www.youtube.com/watch?v=WGFBSridWmA,41.38382518767152,2.1848728144027487,Catalunya,Xavier Mata: Hip hop,1.0
34,34,Lal'Ba,Urbà/Fusió,Olesa de Montserrat (Baix Llobregat),https://www.youtube.com/watch?v=g6iq38Ql8A0,41.55162891347488,1.9013715503359199,Catalunya,Lal'Ba: Urbà/Fusió,1.0
35,35,Visitants,"Rock, pop, acústic",Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=t3c_NSES6Jg,41.565956715240574,2.0133900463330536,Catalunya,"Visitants: Rock, pop, acústic",1.0
36,36,The Sappys,Rock Alternatiu,Terrassa / Matadepera (Vallès Occidental),https://www.youtube.com/watch?v=mx3fx7t6qfk,41.60214496259338,2.029478751348493,Catalunya,The Sappys: Rock Alternatiu,1.0
37,37,Geri,Trap,Les Planes d'Hostoles (Garrotxa),https://www.youtube.com/watch?v=pgC7ByziIyQ,42.06506634826377,2.541822748908311,Catalunya,Geri: Trap,1.0
38,38,Mar Grimalt,Cantautora,Felanitx (Migjorn),https://www.youtube.com/watch?v=EJTZjeM8XW8,39.48313848719819,3.1553846565082946, Migjorn,Mar Grimalt: Cantautora,nan
39,39,Inic,Rock,Igualada (Anoia),None,41.58134008495148,1.6237299518325083,Catalunya,Inic: Rock,1.0
40,40,Max Palou,"Cantautor, pop-rock",Barcelona (Barcelonès),None,41.39003856179201,2.177460887244223,Catalunya,"Max Palou: Cantautor, pop-rock",1.0
41,41,Gattari,"Mestissatge, pop, rock, funk, reggae, ska",Barcelona (Barcelonès),https://www.youtube.com/watch?v=QdLXDdpeE3A,41.39266953586747,2.185090716312907,Catalunya,"Gattari: Mestissatge, pop, rock, funk, reggae, ska",1.0
42,42,Pep Gener,"Fusió de rock, pop i folk.",Ciutadella de Menorca (Menorca),https://www.youtube.com/watch?v=Iv9_TXGrHIM,40.00732520904194,3.844656271744468,Illes Balears,"Pep Gener: Fusió de rock, pop i folk.",3.0
43,43,VOLPINI,Indie Rock,Valls (Alt Camp),https://www.youtube.com/channel/UC-pCXv0SELmG_l0nC3Z5ROw,41.28659715911605,1.255469759811585,Catalunya,VOLPINI: Indie Rock,1.0
