,Unnamed: 0,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio
36,36,Bona Ventura,Disco-Pop,"Pina, Santa Maria del Camí, Esporles i Son Serra de Marina (Pla de Mallorca)",None,40.027046284165046,-0.6502039313878019, Castelló / Castellón,Bona Ventura: Disco-Pop,0
37,37,Lles,indie-pop,Collbató (Baix Llobregat),None,41.577123778024244,1.832458319058286,Catalunya,Lles: indie-pop,1
38,38,MIOPS,Pop-Rock,Moià (Moianès) (Bages),https://www.youtube.com/watch?v=LSkw6mgz-CQ&feature=youtu.be,41.8132070314993,2.101494349493076,Catalunya,MIOPS: Pop-Rock,1
39,39,Lxs Duendes del Parque,Cansautores incendiàries,Arbúcies (Selva),https://www.youtube.com/watch?v=ru9ho_lg_RE,41.82346749358696,2.5176108005381796,Catalunya,Lxs Duendes del Parque: Cansautores incendiàries,1
40,40,Miquel Gomà,rock,Sabadell (Vallès Occidental),https://www.youtube.com/watch?v=mj6zl_obrLQ,41.548159632389,2.119815668679802,Catalunya,Miquel Gomà: rock,1
41,41,Som Guineus,Rock català,Badalona (Barcelonès),https://www.youtube.com/watch?v=0WlJLixTkf8,41.454016580785954,2.2546996014858594,Catalunya,Som Guineus: Rock català,1
42,42,Rels,Rock,Eivissa (Eivissa),None,38.97852673176152,1.4284640935502908, Eivissa,Rels: Rock,0
43,43,Microhomes,Pop-electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=mmDfUts4jik,41.39208160590281,2.1853294275988353,Catalunya,Microhomes: Pop-electrònic,1
44,44,Falcon & Firkin,Pop,Manresa (Bages),https://www.youtube.com/watch?v=T4V6L86JQz4,41.73306078856047,1.8307628826074414,Catalunya,Falcon & Firkin: Pop,1
45,45,Verlaat,Pop,Maó (Menorca),https://www.youtube.com/watch?v=FWShLqf2yPM&feature=youtu.be,39.89442739066751,4.268657277324605, Menorca,Verlaat: Pop,0
46,46,Kòt Lapè,Cançó d'autor amb banda,Barcelona (Barcelonès),https://www.youtube.com/watch?v=N3B-ifMhEHw,41.38468884317979,2.1824415262666657,Catalunya,Kòt Lapè: Cançó d'autor amb banda,1
