,NomdelGrup,Estil,Poblacio,URLvideoYoutube
57,QANARUSA (folk mallorquí),FOLK MALLORQUÍ,Sencelles (Pla de Mallorca),https://www.youtube.com/watch?v=9N8WVukrK_E&t=42s
58,NIUT,Cançó d'autor,Vic (Osona),None
59,Legendari,Folk-rock,Cardedeu (Vallès Oriental),https://www.youtube.com/watch?v=GNnUShasUjY
60,Montflorit,indie-pop català,Cerdanyola del Vallès (Vallès Occidental),https://www.youtube.com/watch?v=HjTYCLoRN7Y&ab_channel=Montflorit
61,Rubèn Masnou,Música d'Autor,Sant Hilari Sacalm (Selva),None
62,Raquel Herreros,Jazz-pop,Barcelona (Barcelonès),None
63,Moais,Cançó d'autor,Barcelona (Barcelonès),https://www.youtube.com/watch?v=i1NSH_Sg06s
64,Carles Alarcón,Pop - Teatre Musical,Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=YbCpYjkZ2uY
65,Andrea Pachà,(Pop-rock alternatiu),Sils (Selva),None
66,MÓN,Pop Rock,Blanes (Selva),None
67,Tomeu Juan Fuster,Cantautor,Palma de Mallorca (Palma),https://www.youtube.com/watch?v=x_dAR7XfxdU
68,Lola Bou & Manel Brancal,Música d'autor,Castelló (Plana Alta),https://www.youtube.com/watch?v=LNrWQPKdEEo
69,LA FERA,"Reagge, rock, ska",Hospitalet de Llobregat (Barcelonès),https://www.youtube.com/watch?v=AfMpOIolt0I
70,Eva Verde & Publio Delgado,Cançó d'autor/jazz/folk/mediterrani,Barcelona (Barcelonès),None
71,Bricks The Yet,Ska alternatiu / Rock,Vall D'Uixó (Plana Baixa),https://www.youtube.com/watch?v=SgYVcPXuRa0&ab_channel=BricksTheYet
72,Confinaps,pop rock,Caldes de Montbui (Vallès Oriental),https://www.youtube.com/watch?v=Afy55mxcowc
73,Dolphins Class,Funk-rock alternatiu,GIRONA (Gironès),None
74,A Kontra Korrent,"Punk, rock, ska",Lleida (Serra de Tramuntana),https://www.youtube.com/watch?v=vEYwgPAa33A
75,Roko Banana,"Math Rock, Rock Progressiu",Banyoles (Pla de l'Estany),https://www.youtube.com/watch?v=FWx1dkZu1RU&t
76,Ovidi Llorente Saguer,Cançó d'autor,Girona (Gironès),None
77,Ninot,Pop despreocupat,08870 (Garraf),https://www.youtube.com/watch?v=4j-wfCGSGWk
78,Xavi Martí,Cançó d'autor,Sueca (Ribera Baixa),https://www.youtube.com/watch?v=cJDcsJkNS5E
79,Iglú,Pop i indie electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=8SZEGLTt73g
80,Biel Martí,Folk Country,Barcelona (Barcelonès),https://www.youtube.com/watch?v=arkqfR3n6IA&ab_channel=capitalh31
81,Daniel,"Pop, experimental, alternativa",Barcelona (Barcelonès),https://www.youtube.com/watch?v=HIgZj8uRiSY
82,Marco Pompero,Indie Folk,Alcoi (Alcoi),https://www.youtube.com/watch?v=oa0ueHcvE9A&t=8s
83,Vèrtex Buit,Cançó d’autor / Rock alternatiu,Golmés (Pla d'Urgell),https://www.youtube.com/watch?v=rOKl5a7laus
84,Ofir Chinchilla,Pop Rock,Banyoles (Pla de l'Estany),https://www.youtube.com/channel/UCSbwIr0BUlmb3gEtTX-wISQ
85,Pieceszx,Música electrònica,Barcelona (Barcelonès),https://www.youtube.com/watch?v=W1P7inSARhs
86,Luz Mutante,Cançó d'autor - Rock,Rubí (Vallès Occidental),None
87,xavi luka,pop,lleida (Segrià),None
88,Carla Font,Pop,Lleida (Segrià),https://www.youtube.com/watch?v=HpPPXD9KzB4
89,the taffaners,fusió,Campdevànol (Ripollès),None
90,Fills del Sr. President,pop rock blues,Girona-Barcelona (Baix Empordà),https://www.youtube.com/watch?v=tYOcPYR6GtU
91,Els Triple Malta,"mescla d'estils, entre pop, rock, newage, bossanova... però sempre amb una bona cervesa",San Vicenç de Calders (Baix Penedès),None
92,Llunari,"Cantautor (amb tocs de Rock, Pop, Electrònica)",Puigcerdà (Cerdanya),https://www.youtube.com/watch?v=qPTtYLeCeOA&list=OLAK5uy_maO3dJ13ILNu22F7AzxyVt5FgxuJ5Wk7o
93,Despit,Rock mestissatge electrònic,Torroella de Montgrí (Baix Empordà),https://www.youtube.com/watch?v=Hjc1i6MzTo0
94,Microhomes,Indie Pop,Barcelona (Barcelonès),https://www.youtube.com/watch?v=DygdA2HhT8o
